subject_id;subject_source;object_source;predicate_id;object_id;subject_label;object_label;confidence;tool;cardinality;mapping_justification
http://w3id.org/CEON/ontology/resourceODP/Matter;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/OBI_0000047;Matter;OBI_0000047;0.19;LogMap;=;
http://w3id.org/CEON/ontology/process/Process;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/BFO_0000015;Process;BFO_0000015;0.51;LogMap;=;
http://w3id.org/CEON/ontology/process/ManufacturingProcess;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/ENVO_01000993;ManufacturingProcess;ENVO_01000993;0.77;LogMap;=;
http://w3id.org/CEON/ontology/process/RecycleProcess;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/ENVO_01000741;RecycleProcess;ENVO_01000741;0.8;LogMap;=;
http://w3id.org/CEON/ontology/material/MolecularEntity;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/CHEBI_23367;MolecularEntity;CHEBI_23367;0.82;LogMap;=;
http://www.w3.org/ns/prov#Role;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/BFO_0000023;Role;BFO_0000023;0.51;LogMap;=;
http://www.w3.org/ns/prov#Role;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/CHEBI_50906;Role;CHEBI_50906;0.51;LogMap;=;
http://w3id.org/CEON/ontology/resourceODP/Resource;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.unep.org/sdg/SDGIO_00000013;Resource;SDGIO_00000013;0.74;LogMap;=;
http://w3id.org/CEON/ontology/process/ServiceProcess;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/OBI_0001173;ServiceProcess;OBI_0001173;0.66;LogMap;=;
http://w3id.org/CEON/ontology/process/ServiceProcess;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.unep.org/sdg/SDGIO_00010071;ServiceProcess;SDGIO_00010071;0.55;LogMap;=;
http://www.w3.org/ns/prov#Entity;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/BFO_0000001;Entity;BFO_0000001;0.75;LogMap;=;
http://www.w3.org/ns/prov#Location;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/PATO_0000140;Location;PATO_0000140;0.51;LogMap;=;
http://www.w3.org/ns/prov#Organization;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/OBI_0000245;Organization;OBI_0000245;0.5;LogMap;=;
http://w3id.org/CEON/ontology/processODP/Process;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/BFO_0000015;Process;BFO_0000015;0.8;LogMap;=;
http://w3id.org/CEON/ontology/actorODP/Role;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/BFO_0000023;Role;BFO_0000023;0.73;LogMap;=;
http://w3id.org/CEON/ontology/provenance/Statement;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/ENVO_00000009;Statement;ENVO_00000009;0.5;LogMap;=;
http://www.w3.org/ns/prov#Plan;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/OBI_0000260;Plan;OBI_0000260;0.82;LogMap;=;
http://w3id.org/CEON/ontology/material/ChemicalEntity;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://purl.obolibrary.org/obo/CHEBI_24431;ChemicalEntity;CHEBI_24431;0.82;LogMap;=;
